,ROUTE_SHORT_NAME,STOP_ID,DIR,SEQ,HEADWAY_S,EOL,SOL,STOP_LAT,STOP_LON,DWELL_S,RUNTIME_S,TOTTIME_S,SERVMILES_S,RUNSPEED_S,TOTSPEED_S,Route,STOP,Boardings,Alightings,STOP NAME
64,F,5679,0,21.0,16.922952336778867,0.0,0.0,37.777589,-122.41621300000001,0.0,182.07000000000002,182.07000000000002,21.314999999999994,7.02,7.02,,,,,
75,F,5696,0,22.0,16.919957593426982,0.0,0.0,37.775243,-122.41918300000002,0.0,294.0899999999999,294.0899999999999,33.663000000000004,6.87,6.87,,,,,
59,F,5672,0,23.0,15.351379188712523,0.0,0.0,37.773269,-122.421768,0.0,195.4700000000001,195.4700000000001,26.459999999999997,8.12,8.12,,,,,
65,F,5681,0,24.0,15.353862433862439,0.0,0.0,37.770953,-122.424666,0.0,224.09,224.09,30.375,8.13,8.13,,,,,
54,F,5659,0,25.0,15.355026455026456,0.0,0.0,37.769786,-122.426149,0.0,111.55,111.55,15.390000000000006,8.28,8.28,,,,,
55,F,5661,0,26.0,15.356966490299824,0.0,0.0,37.767829,-122.428628,0.0,194.36999999999992,194.36999999999992,25.784999999999986,7.96,7.96,,,,,
70,F,5690,0,27.0,15.356966490299824,0.0,0.0,37.766185,-122.430707,0.0,169.73,169.73,21.734999999999996,7.68,7.68,,,,,
68,F,5686,0,28.0,15.356966490299826,0.0,0.0,37.764489,-122.432812,0.0,173.99999999999991,173.99999999999991,22.14,7.63,7.63,,,,,
3,F,3311,0,29.0,9.504424778761063,1.0,0.0,37.76252,-122.434866,0.0,222.77000000000012,222.77000000000012,19.888000000000005,5.36,5.36,,,,,
5,F,3318,0,30.0,45.61363636363637,1.0,0.0,37.762645,-122.432991,0.0,22.49999999999999,22.49999999999999,2.816000000000001,7.510000000000001,7.510000000000001,,,,,
2,F,3308,0,31.0,46.22727272727273,0.0,0.0,37.76281,-122.4285,0.0,66.0,66.0,5.412000000000002,4.92,4.92,,,,,
10,F,3987,0,32.0,46.22727272727273,0.0,0.0,37.761467,-122.42841600000001,0.0,9.459999999999999,9.459999999999999,2.046,12.979999999999999,12.979999999999999,,,,,
77,F,6214,0,33.0,46.22727272727273,0.0,0.0,37.758264,-122.427924,0.0,23.100000000000005,23.100000000000005,4.905999999999999,12.74,12.74,,,,,
82,F,6221,0,34.0,46.22727272727273,0.0,0.0,37.757451,-122.42699899999998,0.0,8.8,8.8,1.672,11.4,11.4,,,,,
79,F,6216,0,35.0,46.22727272727273,0.0,0.0,37.756643,-122.426922,0.0,5.5,5.5,1.2320000000000004,13.44,13.44,,,,,
81,F,6218,0,36.0,46.22727272727273,0.0,0.0,37.754910333333335,-122.42768133333334,0.0,12.76,12.76,2.786666666666667,13.103333333333333,13.103333333333333,,,,,
12,F,3995,0,37.0,46.22727272727273,0.0,0.0,37.7518,-122.427497,0.0,23.100000000000005,23.100000000000005,4.722666666666666,12.270000000000001,12.270000000000001,,,,,
19,F,4002,0,38.0,46.22727272727273,0.0,0.0,37.749388,-122.42728900000002,0.0,17.16,17.16,3.674000000000001,12.85,12.85,,,,,
14,F,3997,0,39.0,46.22727272727273,0.0,0.0,37.746985,-122.427073,0.0,17.16,17.16,3.6519999999999992,12.770000000000001,12.770000000000001,,,,,
21,F,4004,0,40.0,46.22727272727273,0.0,0.0,37.742811,-122.426654,0.0,31.459999999999997,31.459999999999997,6.357999999999998,12.13,12.13,,,,,
18,F,4001,0,41.0,46.22727272727273,0.0,0.0,37.742097,-122.426528,0.0,5.06,5.06,1.1,13.04,13.04,,,,,
7,F,3538,0,42.0,46.22727272727273,0.0,0.0,37.74217,-122.424457,0.0,11.439999999999998,11.439999999999998,2.5080000000000005,13.15,13.15,,,,,
89,F,6280,0,43.0,46.22727272727273,0.0,0.0,37.739385,-122.42432000000001,0.0,27.060000000000006,27.060000000000006,4.224000000000001,9.37,9.37,,,,,
38,F,4788,0,44.0,46.22727272727273,0.0,0.0,37.732401,-122.433855,0.0,72.16,72.16,15.62,12.99,12.99,,,,,
91,F,6285,0,45.0,46.22727272727273,0.0,0.0,37.728996,-122.440016,0.0,41.8,41.8,9.041999999999998,12.979999999999999,12.979999999999999,,,,,
92,F,6287,0,46.0,46.22727272727273,0.0,0.0,37.725877,-122.442359,0.0,24.640000000000004,24.640000000000004,5.5,13.39,13.39,,,,,
86,F,6274,0,47.0,46.22727272727273,0.0,0.0,37.723085,-122.444699,0.0,23.100000000000005,23.100000000000005,5.082000000000001,13.199999999999998,13.199999999999998,,,,,
85,F,6263,0,48.0,46.22727272727273,1.0,0.0,37.720676,-122.446783,0.0,19.799999999999997,19.799999999999997,4.444000000000001,13.47,13.47,,,,,
