,STOP_ID,ROUTE_SHORT_NAME,DIR,STOP NAME,SEQ,Stop Latitude, Total Alightings ,Stop Longitude, Total Boardings ,HEADWAY_S,EOL,SOL,STOP_LAT,STOP_LON,DWELL_S,RUNTIME_S,TOTTIME_S,SERVMILES_S,RUNSPEED_S,TOTSPEED_S,geometry
282,7358,KT,0,Third Street & Mission Rock St,18,37.77299,96.9,-122.38972,329.9,17.53217391,0,0,37.772993,-122.389717,0,233.28,233.28,39.312,10.11,10.11,POINT (-122.389717 37.772993)
401,5240,KT,0,,20,,,,,39.94782353,0,0,37.776269,-122.394082,0,22.76,22.76,5.593,14.74,14.74,POINT (-122.394082 37.776269)
261,7166,KT,0,4th St & King St,21,37.77628,973.3,-122.39387,922.5,17.54528986,0,0,37.776278,-122.393864,0,317.37,317.37,40.971,7.75,7.75,POINT (-122.393864 37.776278)
92,5237,KT,0,King St & 2nd St,22,37.77962,242.7,-122.389824,874.3,14.56298001,0,0,37.779621,-122.389824,0,279.55,279.55,40.513,8.7,8.7,POINT (-122.389824 37.779621)
258,7145,KT,0,The Embarcadero & Brannan St,23,37.78463,174,-122.38798,293.9,14.57110842,0,0,37.784627,-122.387977,0,319.17,319.17,45.72,8.59,8.59,POINT (-122.387977 37.784627)
49,4510,KT,0,The Embarcadero & Folsom St,24,37.79075,832.4,-122.38984,550.3,14.58086008,0,0,37.790749,-122.389841,0,395.14,395.14,55.118,8.37,8.37,POINT (-122.389841 37.790749)
263,7217,KT,0,Metro Embarcadero Station,26,37.79315,2277.2,-122.39643,1273.6,14.6839701,1,0,37.793152,-122.396431,0,716,716,50.419,4.23,4.23,POINT (-122.396431 37.793152)
227,6994,KT,0,Metro Montgomery Station/Outbound,27,37.78879,983.3,-122.40213,1436.9,10.79834161,0,0,37.788791,-122.402127,0,168.76,168.76,49.795,17.7,17.7,POINT (-122.402127 37.788791)
232,6995,KT,0,Metro Powell Station/Outbound,28,37.7843,1147.6,-122.40782,1861.7,10.79784472,0,0,37.7843,-122.407822,0,149.83,149.83,50.485,20.22,20.22,POINT (-122.407822 37.7843)
242,6997,KT,0,Metro Civic Center Station/Outbd,29,37.778675,941.5,-122.41499,1019.7,10.79724845,0,0,37.778675,-122.414995,0,187.94,187.94,63.48,20.27,20.27,POINT (-122.414995 37.778675)
237,6996,KT,0,Van Ness Station Outbound,30,37.77523,930.9,-122.41934,912.9,10.79704969,0,0,37.775234,-122.41934,0,119.49,119.49,38.64,19.4,19.4,POINT (-122.41934 37.775234)
246,6998,KT,0,Metro Church Station/Outbound,31,37.767326,940.6,-122.42932,442.2,10.79704969,0,0,37.767327,-122.429321,0,156.77,156.77,88.78,33.98,33.98,POINT (-122.429321 37.767327)
215,6991,KT,0,Metro Castro Station/Outbound,32,37.762684,1355.4,-122.43529,258.7,10.79704969,0,0,37.762683,-122.435289,0,94.23,94.23,52.67,33.54,33.54,POINT (-122.435289 37.762683)
223,6993,KT,0,Forest Hill Station Outbound,33,37.74817,727.8,-122.45919,169.1,10.78746273,0,0,37.74817,-122.459192,0,808.6,808.6,189.52,14.06,14.06,POINT (-122.459192 37.74817)
205,6739,KT,0,West Portal Station,34,37.740948,1209.2,-122.4658,745,10.78726708,0,0,37.740947,-122.4658,0,6.4,6.4,70.84,664.12,664.12,POINT (-122.4658 37.740947)
402,7058,KT,0,,35,,,,,10.51904762,0,0,37.740893,-122.465846,0,129,129,0.46,0.21,0.21,POINT (-122.465846 37.740893)
256,7125,KT,0,West Portal Ave & 14th Ave,36,37.738064,191.8,-122.46899,167.9,10.4739976,0,0,37.738064,-122.468984,0,203.93,203.93,30.94,9.1,9.1,POINT (-122.468984 37.738064)
174,6503,KT,0,West Portal/Sloat/St Francis Circle,37,37.73481,224.3,-122.47162,125.1,10.48139256,0,0,37.734807,-122.471618,0,130.07,130.07,31.773,14.66,14.66,POINT (-122.471618 37.734807)
255,7114,KT,0,Junipero Serra Blvd & Ocean Ave,38,37.731274,281,-122.47182,174.4,10.48045618,0,0,37.731271,-122.471818,0,262.28,262.28,29.036,6.64,6.64,POINT (-122.471818 37.731271)
139,5807,KT,0,Ocean Ave & San Leandro Way,39,37.729942,148.7,-122.469475,112.9,10.47980792,0,0,37.729945,-122.469475,0,172.37,172.37,18.802,6.54,6.54,POINT (-122.469475 37.729945)
127,5780,KT,0,Ocean Ave & Aptos Ave,40,37.728382,276.7,-122.46787,118.8,10.47923169,0,0,37.728383,-122.467871,0,158.2,158.2,16.541,6.27,6.27,POINT (-122.467871 37.728383)
130,5786,KT,0,Ocean Ave & Cerritos Ave,41,37.727253,132.3,-122.46676,41,10.47887155,0,0,37.727252,-122.46676,0,103.37,103.37,11.781,6.84,6.84,POINT (-122.46676 37.727252)
140,5808,KT,0,Ocean Ave & Victoria St,42,37.72603,255.5,-122.46433,90.1,10.47829532,0,0,37.726029,-122.464337,0,168.43,168.43,18.683,6.66,6.66,POINT (-122.464337 37.726029)
133,5793,KT,0,Ocean Ave & Jules Ave,43,37.724957,658.7,-122.461395,298.7,10.47765906,0,0,37.724955,-122.46139,0,188.28,188.28,21.182,6.75,6.75,POINT (-122.46139 37.724955)
137,5798,KT,0,Ocean Ave & Miramar Ave,44,37.724262,458.9,-122.458305,154.5,10.47719088,0,0,37.724262,-122.458306,0,185.9,185.9,20.944,6.76,6.76,POINT (-122.458306 37.724262)
135,5795,KT,0,Ocean Ave & Lee St,45,37.723454,810,-122.454216,121.9,10.47615846,0,0,37.723451,-122.454217,0,244.1,244.1,27.489,6.76,6.76,POINT (-122.454217 37.723451)
129,5785,KT,0,OCEAN AVE/CCSF Pedestrian Bridge,46,37.722946,431.8,-122.45087,10.3,10.47543818,0,0,37.722947,-122.450866,0,197.22,197.22,22.253,6.77,6.77,POINT (-122.450866 37.722947)
101,5418,KT,0,Balboa Park BART/Mezzanine Level,47,37.72181,637.4,-122.447426,28.9,10.47418968,1,0,37.721809,-122.447425,0,314.58,314.58,24.276,4.63,4.63,POINT (-122.447425 37.721809)
307,7778,KT,1,San Jose Ave & Geneva Ave,1,37.72124,14,-122.44622,608.4,16.35672043,0,1,37.721238,-122.446222,0,0,0,0,0,0,POINT (-122.446222 37.721238)
128,5784,KT,1,OCEAN AVE/CCSF Pedestrian Bridge,2,37.72304,25.1,-122.45145,285.5,16.3462043,0,0,37.72304,-122.451448,0,436.42,436.42,37.44,5.15,5.15,POINT (-122.451448 37.72304)
134,5794,KT,1,Ocean Ave & Lee St,3,37.72346,82.3,-122.454,945.9,16.34311201,0,0,37.723459,-122.453999,0,127.64,127.64,17.16,8.07,8.07,POINT (-122.453999 37.723459)
136,5797,KT,1,Ocean Ave & Miramar Ave,4,37.72439,141.3,-122.45808,436.3,16.33797491,0,0,37.724387,-122.458077,0,206.88,206.88,27.84,8.07,8.07,POINT (-122.458077 37.724387)
131,5787,KT,1,Ocean Ave & Dorado Ter,5,37.724957,242.4,-122.46106,660.1,16.33433244,0,0,37.724957,-122.461059,0,149.53,149.53,20.16,8.09,8.09,POINT (-122.461059 37.724957)
132,5788,KT,1,Ocean Ave & Fairfield Way,6,37.72601,70.6,-122.46407,383.2,16.33055376,0,0,37.726008,-122.464072,0,161.02,161.02,21.6,8.05,8.05,POINT (-122.464072 37.726008)
141,5809,KT,1,Ocean Ave & Westgate Dr,7,37.7272,49.7,-122.46648,157.5,16.3269086,0,0,37.727199,-122.46648,0,141.54,141.54,18.6,7.88,7.88,POINT (-122.46648 37.727199)
126,5779,KT,1,Ocean Ave & Aptos Ave,8,37.728283,219.1,-122.46756,141.7,16.32486111,0,0,37.728285,-122.467561,0,87.56,87.56,11.4,7.81,7.81,POINT (-122.467561 37.728285)
138,5806,KT,1,Ocean Ave & San Leandro Way,9,37.72999,192,-122.46909,111.2,16.32187993,0,0,37.729989,-122.469097,0,129.77,129.77,17.4,8.05,8.05,POINT (-122.469097 37.729989)
254,7113,KT,1,Junipero Serra Blvd & Ocean Ave,10,37.73163,154.8,-122.4717,248.8,16.31746237,0,0,37.731628,-122.471707,0,183.6,183.6,21.84,7.14,7.14,POINT (-122.471707 37.731628)
251,7109,KT,1,West Portal/Sloat/St Francis Circle,11,37.734825,135.9,-122.47145,364.1,16.3125448,0,0,37.734825,-122.471446,0,212.28,212.28,26.52,7.5,7.5,POINT (-122.471446 37.734825)
211,6898,KT,1,West Portal Ave & 14th Ave,12,37.73786,109.6,-122.46904,251.2,16.3085448,0,0,37.737859,-122.469042,0,189.73,189.73,29.64,9.37,9.37,POINT (-122.469042 37.737859)
