,ROUTE_SHORT_NAME,STOP_ID,DIR,SEQ,HEADWAY_S,EOL,SOL,STOP_LAT,STOP_LON,DWELL_S,RUNTIME_S,TOTTIME_S,SERVMILES_S,RUNSPEED_S,TOTSPEED_S,Route,STOP,Boardings,Alightings,STOP NAME
350,M,7164,1,2,19.06489676,0,1,37.720613,-122.446577,0,0,0,0,0,0,M-OCEAN VIEW,Geneva Term,26,0,SAN JOSE AVE & GENEVA AVE
327,M,6262,1,3,19.06037365,0,0.333333333,37.720631,-122.446818,0,5.026666667,5.026666667,0.979333333,7.793333333,7.793333333,M-OCEAN VIEW,S.J.&Geneva,"1,749",0,San Jose Ave & Geneva Ave
348,M,7111,1,4,19.06037365,0,0,37.71847,-122.44864,0,75.41,75.41,20.227,16.09,16.09,M-OCEAN VIEW,S.J.&MtVernon,48,14,San Jose Ave & Mt Vernon Ave
328,M,6265,1,5,19.06037365,0,0,37.71626,-122.450334,0,76.48,76.48,20.114,15.78,15.78,M-OCEAN VIEW,S.J.&Lakeview,88,142,San Jose Ave & Lakeview Ave
325,M,6257,1,6,19.06037365,0,0,37.714153,-122.452148,0,75.29,75.29,19.888,15.84666667,15.84666667,M-OCEAN VIEW,S.J.&Farallones,29,61,San Jose Ave & Farallones St
307,M,3718,1,7,18.89317739,0,0,37.713222,-122.455927,0,104.61,104.61,24.521,14.06666667,14.06666667,M-OCEAN VIEW,Broad&Plymouth,380,236,Broad St & Plymouth Ave
304,M,3715,1,8,18.8911306,0,0,37.713191,-122.458921,0,120.9933333,120.9933333,18.696,9.27,9.27,,,,,
306,M,3717,1,9,18.88879142,0,0,37.713178,-122.462331,0,138.8966667,138.8966667,21.318,9.206666667,9.206666667,M-OCEAN VIEW,Broad&Orizaba,150,74,Broad St & Orizaba Ave
319,M,6174,1,10,18.88712476,0,0,37.714348,-122.463392,0,103.01,103.01,11.286,6.576666667,6.576666667,M-OCEAN VIEW,Randolph&Bright,274,146,Randolph St & Bright St
317,M,6172,1,11,18.88431774,0,0,37.714342,-122.466982,0,145.91,145.91,22.458,9.236666667,9.236666667,M-OCEAN VIEW,Randolph&Arch,334,140,Randolph St & Arch St
301,M,3385,1,12,18.88265107,0,0,37.714282,-122.469618,0,108.04,108.04,16.416,9.116666667,9.116666667,M-OCEAN VIEW,19th&Randolph,187,64,19th Ave & Randolph St
299,M,3361,1,13,18.87966862,0,0,37.716889,-122.472275,0,177.84,177.84,26.334,8.886666667,8.886666667,M-OCEAN VIEW,19th&J.Serra,208,60,19th Ave & Junipero Serra Blvd
346,M,7065,1,14,18.87563353,0,0,37.721244,-122.475096,0,271.8633333,271.8633333,38.532,8.503333333,8.503333333,M-OCEAN VIEW,19th&Holloway,"3,176",883,19th Ave & Holloway Ave
353,M,7449,1,15,18.88303119,0,0,37.727195,-122.474846,0,525.4966667,525.4966667,46.854,5.353333333,5.353333333,M-OCEAN VIEW,19th&Winston,"1,101",321,19th Ave & Winston Dr
322,M,6220,1,16,18.88788499,0,0,37.730987,-122.474366,0,343.2,343.2,29.982,5.243333333,5.243333333,M-OCEAN VIEW,ROW&Eucalyptus ,376,79,Right Of Way/Eucalyptus Dr
324,M,6224,1,17,18.8891423,0,0,37.731808,-122.473815,0,81.61666667,81.61666667,7.296,5.363333333,5.363333333,M-OCEAN VIEW,ROW&Ocean,103,74,Right Of Way/Ocean Ave
347,M,7109,1,28,18.89317739,0,0,37.734825,-122.471446,0,315.89,315.89,27.93,5.303333333,5.303333333,M-OCEAN VIEW,St.FrancisCircle,310,139,West Portal/Sloat/St Francis Circle
335,M,6898,1,29,18.89317739,0.333333333,0,37.737859,-122.469042,0,218.88,218.88,28.158,7.72,7.72,M-OCEAN VIEW,West Portal&14th,147,181,West Portal Ave & 14th Ave
345,M,7058,1,50,18.89766082,1,0,37.740884,-122.46588,0,237.12,237.12,30.894,7.82,7.82,M-OCEAN VIEW,WestPortal&Ulloa,9,103,West Portal Ave & Ulloa St
334,M,6740,1,51,11.31866781,0,0,37.74092,-122.465777,0,183.6,183.6,10.58066667,2.04,2.04,M-OCEAN VIEW,West Portal Sta,"1,468",521,West Portal Station
314,M,5730,1,52,11.31866781,0,0,37.748351,-122.458623,0,152.4133333,152.4133333,69.23,27.25,27.25,M-OCEAN VIEW,Forest Hill Sta,814,361,Metro Forest Hill Station/Downtown
313,M,5728,1,53,11.31866781,0,0,37.762576,-122.435231,0,384.2533333,384.2533333,173.1286667,27.03,27.03,M-OCEAN VIEW,Castro Sta,"1,643",564,Metro Castro Station/Downtown
311,M,5726,1,54,11.31952987,0,0,37.767194,-122.429168,0,159.5733333,159.5733333,49.37333333,18.56666667,18.56666667,M-OCEAN VIEW,Church Sta,893,693,Metro Church Station/Downtown
310,M,5419,1,55,11.32099771,0,0,37.775069,-122.419193,0,268.4266667,268.4266667,82.64666667,18.47666667,18.47666667,M-OCEAN VIEW,Van Ness Sta,714,"1,234",Van Ness Station Outbound
312,M,5727,1,56,11.31978616,0,0,37.778542,-122.414813,0,141.4466667,141.4466667,36.386,15.43333333,15.43333333,M-OCEAN VIEW,Civic Center Sta,464,"1,419",Metro Civic Center Station/Downtn
309,M,5417,1,57,11.31754946,0,0,37.784199,-122.407695,0,230.7666667,230.7666667,59.14066667,15.37333333,15.37333333,M-OCEAN VIEW,Powell Sta,359,"2,635",Metro Powell Station/Downtown
315,M,5731,1,58,11.31582533,0,0,37.788702,-122.401925,0,185.71,185.71,47.54866667,15.36333333,15.36333333,M-OCEAN VIEW,Montgomery Sta,102,"2,647",Metro Montgomery Station/Downtown
337,M,6992,1,59,11.314008,1,0,37.793143,-122.396396,0,181.58,181.58,46.26066667,15.28666667,15.28666667,,,,,
460,M,3716,1,,,,,,,,,,,,,M-OCEAN VIEW,Broad&Capitol,304,210,Broad St & Capitol Ave
408,N,5240,0,6,12.67251908,0,1,37.776058,-122.394364,0,0,0,0,0,0,N-JUDAH,King&4th,"2,061",0,King St & 4th St
406,N,5237,0,7,12.67251908,0,0,37.779621,-122.389824,0,214.56,214.56,45.60266667,12.76,12.76,N-JUDAH,King&2nd,944,26,King St & 2nd St
418,N,7145,0,8,12.67251908,0,0,37.784627,-122.387977,0,233.1466667,233.1466667,47.04,12.11333333,12.11333333,N-JUDAH,Embar&Brannan,383,46,The Embarcadero & Brannan St
425,N,7380,0,9,14.35877863,0,0,37.78957,-122.388489,0,214.03,214.03,44.802,12.56,12.56,,,,,
365,N,4510,0,10,12.67251908,0,0,37.790749,-122.389841,0,188.4066667,188.4066667,28.41333333,8.406666667,8.406666667,N-JUDAH,Embarc&Folsom,603,283,The Embarcadero & Folsom St
