,ROUTE_SHORT_NAME,STOP_ID,DIR,HEADWAY_S,EOL,SOL,STOP_LAT,STOP_LON,DWELL_S,RUNTIME_S,TOTTIME_S,SERVMILES_S,RUNSPEED_S,TOTSPEED_S,Route,STOP,Boardings,Alightings,STOP NAME
74,F,5695.0,0,16.92869268486616,0.0,0.0,37.782316,-122.410228,0.0,227.10999999999999,227.10999999999999,25.430999999999997,6.72,6.72,,,,,
75,F,5696.0,0,16.919957593426982,0.0,0.0,37.775243,-122.41918300000002,0.0,294.0899999999999,294.0899999999999,33.663000000000004,6.87,6.87,,,,,
76,F,6213.0,1,32.07272727272727,0.0,0.0,37.761192,-122.428184,0.0,18.700000000000003,18.700000000000003,4.51,14.47,14.47,,,,,
77,F,6214.0,0,46.22727272727273,0.0,0.0,37.758264,-122.427924,0.0,23.100000000000005,23.100000000000005,4.905999999999999,12.74,12.74,,,,,
78,F,6215.0,1,32.07272727272727,0.0,0.0,37.758229,-122.427795,0.0,11.660000000000002,11.660000000000002,1.8699999999999999,9.62,9.62,,,,,
79,F,6216.0,0,46.22727272727273,0.0,0.0,37.756643,-122.426922,0.0,5.5,5.5,1.2320000000000004,13.44,13.44,,,,,
80,F,6217.0,1,32.07272727272727,0.0,0.0,37.756436,-122.426822,0.0,13.199999999999998,13.199999999999998,2.706000000000001,12.300000000000002,12.300000000000002,,,,,
81,F,6218.0,0,46.22727272727273,0.0,0.0,37.754910333333335,-122.42768133333334,0.0,12.76,12.76,2.786666666666667,13.103333333333333,13.103333333333333,,,,,
82,F,6221.0,0,46.22727272727273,0.0,0.0,37.757451,-122.42699899999998,0.0,8.8,8.8,1.672,11.4,11.4,,,,,
83,F,6222.0,1,32.07272727272727,0.0,0.0,37.757239,-122.426867,0.0,5.940000000000001,5.940000000000001,1.21,12.22,12.22,,,,,
84,F,6260.0,1,32.07272727272727,0.0,0.0,37.72097,-122.4463,0.0,2.1999999999999997,2.1999999999999997,0.7920000000000001,21.600000000000005,21.600000000000005,,,,,
85,F,6263.0,0,46.22727272727273,1.0,0.0,37.720676,-122.446783,0.0,19.799999999999997,19.799999999999997,4.444000000000001,13.47,13.47,,,,,
86,F,6274.0,0,46.22727272727273,0.0,0.0,37.723085,-122.444699,0.0,23.100000000000005,23.100000000000005,5.082000000000001,13.199999999999998,13.199999999999998,,,,,
87,F,6275.0,1,32.07272727272727,0.0,0.0,37.722862,-122.44479,0.0,14.74,14.74,3.3879999999999995,13.79,13.79,,,,,
88,F,6277.0,1,32.07272727272727,0.0,0.0,37.739741,-122.424157,0.0,72.16,72.16,15.619999999999997,12.99,12.99,,,,,
89,F,6280.0,0,46.22727272727273,0.0,0.0,37.739385,-122.42432000000001,0.0,27.060000000000006,27.060000000000006,4.224000000000001,9.37,9.37,,,,,
90,F,6284.0,1,32.07272727272727,0.0,0.0,37.728991,-122.43992199999998,0.0,28.160000000000014,28.160000000000014,5.874,12.520000000000001,12.520000000000001,,,,,
91,F,6285.0,0,46.22727272727273,0.0,0.0,37.728996,-122.440016,0.0,41.8,41.8,9.041999999999998,12.979999999999999,12.979999999999999,,,,,
92,F,6287.0,0,46.22727272727273,0.0,0.0,37.725877,-122.442359,0.0,24.640000000000004,24.640000000000004,5.5,13.39,13.39,,,,,
93,F,6288.0,1,32.07272727272727,0.0,0.0,37.725681,-122.44244199999999,0.0,23.539999999999996,23.539999999999996,5.1259999999999994,13.07,13.07,,,,,
94,F,6347.0,1,32.07272727272727,0.0,1.0,37.720524,-122.446657,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
95,F,7073.0,1,32.160000000000004,0.0,0.0,37.76735466666667,-122.42885100000001,0.0,33.55,33.55,4.517333333333332,8.08,8.08,,,,,
96,F,7264.0,1,8.069727891156461,0.0,0.0,37.79094,-122.399195,0.0,235.00000000000014,235.00000000000014,33.516000000000005,8.56,8.56,,,,,
97,F,7281.0,1,8.062925170068027,0.0,0.0,37.805146,-122.403233,0.0,196.56999999999985,196.56999999999985,25.578000000000014,7.81,7.81,,,,,
98,F,7283.0,0,16.943215831787256,0.0,0.0,37.794828,-122.39377,0.0,118.83,118.83,19.25700000000002,9.72,9.72,,,,,
111,J,4001.0,0,11.93641456582633,0.0,0.0,37.742097,-122.426528,0.0,38.080000000000005,38.080000000000005,5.950000000000001,9.38,9.38,,,,,
120,J,5448.0,0,11.860398860398861,1.0,0.0,37.720899,-122.446657,0.0,165.9466666666667,165.9466666666667,21.645,7.830000000000001,7.830000000000001,,,,,
121,J,5448.0,1,16.438388705768386,0.0,1.0,37.720899,-122.446657,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
146,J,7162.0,0,12.24291666666667,1.0,0.0,37.769463,-122.429133,0.0,327.0,327.0,72.81199999999998,13.36,13.36,,,,,
147,J,7162.0,1,16.84668989547038,1.0,0.0,37.769463,-122.429133,0.0,18.49999999999999,18.49999999999999,1.331,4.32,4.32,,,,,
