,ROUTE,STOP NAME,DIRECTION,STOP ID,STOP SEQ,Number of Trips in Time Period,Stop Latitude,Stop Longitude
19,J-Church ,Metro Civic Center Station/Downtn,INBOUND,5727,24,9,37.778545,-122.41481999999999
147,L-Taraval ,Metro Civic Center Station/Downtn,INBOUND,5727,27,5,37.778545,-122.41481999999999
65,KT-Ingleside/Third Street ,Metro Civic Center Station/Downtn,INBOUND,5727,19,15,37.778545,-122.41481999999999
293,N-Judah ,Metro Civic Center Station/Downtn,INBOUND,5727,28,4,37.778545,-122.41481999999999
208,M-Ocean View ,Metro Civic Center Station/Downtn,INBOUND,5727,25,7,37.778545,-122.41481999999999
294,N-Judah ,Metro Civic Center Station/Outbd,OUTBOUND,6997,12,12,37.778675,-122.41498999999999
66,KT-Ingleside/Third Street ,Metro Civic Center Station/Outbd,OUTBOUND,6997,30,26,37.778675,-122.41498999999999
209,M-Ocean View ,Metro Civic Center Station/Outbd,OUTBOUND,6997,5,4,37.778675,-122.41498999999999
20,J-Church ,Metro Civic Center Station/Outbd,OUTBOUND,6997,5,7,37.778675,-122.41498999999999
148,L-Taraval ,Metro Civic Center Station/Outbd,OUTBOUND,6997,4,9,37.778675,-122.41498999999999
21,J-Church ,Metro Embarcadero Station,INBOUND,6992,27,9,37.793137,-122.39643000000001
22,J-Church ,Metro Embarcadero Station,OUTBOUND,7217,2,7,37.79315,-122.39643000000001
296,N-Judah ,Metro Embarcadero Station,OUTBOUND,7217,9,12,37.79315,-122.39643000000001
295,N-Judah ,Metro Embarcadero Station,INBOUND,6992,31,4,37.793137,-122.39643000000001
210,M-Ocean View ,Metro Embarcadero Station,INBOUND,6992,28,7,37.793137,-122.39643000000001
150,L-Taraval ,Metro Embarcadero Station,OUTBOUND,7217,1,9,37.79315,-122.39643000000001
211,M-Ocean View ,Metro Embarcadero Station,OUTBOUND,7217,2,4,37.79315,-122.39643000000001
68,KT-Ingleside/Third Street ,Metro Embarcadero Station,OUTBOUND,7217,27,26,37.79315,-122.39643000000001
67,KT-Ingleside/Third Street ,Metro Embarcadero Station,INBOUND,6992,22,15,37.793137,-122.39643000000001
149,L-Taraval ,Metro Embarcadero Station,INBOUND,6992,30,5,37.793137,-122.39643000000001
212,M-Ocean View ,Metro Forest Hill Station/Downtown,INBOUND,5730,21,7,37.748352000000004,-122.458626
151,L-Taraval ,Metro Forest Hill Station/Downtown,INBOUND,5730,23,5,37.748352000000004,-122.458626
69,KT-Ingleside/Third Street ,Metro Forest Hill Station/Downtown,INBOUND,5730,15,15,37.748352000000004,-122.458626
297,N-Judah ,Metro Montgomery Station/Downtown,INBOUND,5731,30,4,37.788703999999996,-122.40193000000001
23,J-Church ,Metro Montgomery Station/Downtown,INBOUND,5731,26,9,37.788703999999996,-122.40193000000001
152,L-Taraval ,Metro Montgomery Station/Downtown,INBOUND,5731,29,5,37.788703999999996,-122.40193000000001
70,KT-Ingleside/Third Street ,Metro Montgomery Station/Downtown,INBOUND,5731,21,15,37.788703999999996,-122.40193000000001
213,M-Ocean View ,Metro Montgomery Station/Downtown,INBOUND,5731,27,7,37.788703999999996,-122.40193000000001
214,M-Ocean View ,Metro Montgomery Station/Outbound,OUTBOUND,6994,3,4,37.788790000000006,-122.40213
298,N-Judah ,Metro Montgomery Station/Outbound,OUTBOUND,6994,10,12,37.788790000000006,-122.40213
153,L-Taraval ,Metro Montgomery Station/Outbound,OUTBOUND,6994,2,9,37.788790000000006,-122.40213
71,KT-Ingleside/Third Street ,Metro Montgomery Station/Outbound,OUTBOUND,6994,28,26,37.788790000000006,-122.40213
24,J-Church ,Metro Montgomery Station/Outbound,OUTBOUND,6994,3,7,37.788790000000006,-122.40213
215,M-Ocean View ,Metro Powell Station/Downtown,INBOUND,5417,26,7,37.7842,-122.4077
72,KT-Ingleside/Third Street ,Metro Powell Station/Downtown,INBOUND,5417,20,15,37.7842,-122.4077
25,J-Church ,Metro Powell Station/Downtown,INBOUND,5417,25,9,37.7842,-122.4077
154,L-Taraval ,Metro Powell Station/Downtown,INBOUND,5417,28,5,37.7842,-122.4077
299,N-Judah ,Metro Powell Station/Downtown,INBOUND,5417,29,4,37.7842,-122.4077
26,J-Church ,Metro Powell Station/Outbound,OUTBOUND,6995,4,7,37.7843,-122.40782
73,KT-Ingleside/Third Street ,Metro Powell Station/Outbound,OUTBOUND,6995,29,26,37.7843,-122.40782
155,L-Taraval ,Metro Powell Station/Outbound,OUTBOUND,6995,3,9,37.7843,-122.40782
300,N-Judah ,Metro Powell Station/Outbound,OUTBOUND,6995,11,12,37.7843,-122.40782
216,M-Ocean View ,Metro Powell Station/Outbound,OUTBOUND,6995,4,4,37.7843,-122.40782
301,N-Judah ,Metro Van Ness Station,INBOUND,5419,27,4,37.775127000000005,-122.41925
27,J-Church ,Metro Van Ness Station,INBOUND,5419,23,9,37.775127000000005,-122.41925
217,M-Ocean View ,Metro Van Ness Station,INBOUND,5419,24,7,37.775127000000005,-122.41925
74,KT-Ingleside/Third Street ,Metro Van Ness Station,INBOUND,5419,18,15,37.775127000000005,-122.41925
156,L-Taraval ,Metro Van Ness Station,INBOUND,5419,26,5,37.775127000000005,-122.41925
75,KT-Ingleside/Third Street ,OCEAN AVE/CCSF Pedestrian Bridge,INBOUND,5784,2,15,37.723040000000005,-122.45145
76,KT-Ingleside/Third Street ,OCEAN AVE/CCSF Pedestrian Bridge,OUTBOUND,5785,47,31,37.722946,-122.45087
78,KT-Ingleside/Third Street ,Ocean Ave & Aptos Ave,OUTBOUND,5780,41,31,37.728382,-122.46786999999999
77,KT-Ingleside/Third Street ,Ocean Ave & Aptos Ave,INBOUND,5779,8,15,37.728283000000005,-122.46756
79,KT-Ingleside/Third Street ,Ocean Ave & Cerritos Ave,OUTBOUND,5786,42,31,37.727253000000005,-122.46676000000001
80,KT-Ingleside/Third Street ,Ocean Ave & Dorado Ter,INBOUND,5787,5,15,37.724957,-122.46106
81,KT-Ingleside/Third Street ,Ocean Ave & Fairfield Way,INBOUND,5788,6,15,37.726009999999995,-122.46406999999999
82,KT-Ingleside/Third Street ,Ocean Ave & Jules Ave,OUTBOUND,5793,44,31,37.724957,-122.461395
83,KT-Ingleside/Third Street ,Ocean Ave & Lee St,INBOUND,5794,3,15,37.723459999999996,-122.454
84,KT-Ingleside/Third Street ,Ocean Ave & Lee St,OUTBOUND,5795,46,31,37.723454,-122.45421599999999
85,KT-Ingleside/Third Street ,Ocean Ave & Miramar Ave,INBOUND,5797,4,15,37.72439,-122.45808000000001
86,KT-Ingleside/Third Street ,Ocean Ave & Miramar Ave,OUTBOUND,5798,45,31,37.724262,-122.45830500000001
88,KT-Ingleside/Third Street ,Ocean Ave & San Leandro Way,OUTBOUND,5807,40,31,37.729942,-122.469475
87,KT-Ingleside/Third Street ,Ocean Ave & San Leandro Way,INBOUND,5806,9,15,37.72999,-122.46909
89,KT-Ingleside/Third Street ,Ocean Ave & Victoria St,OUTBOUND,5808,43,31,37.72603,-122.46433
90,KT-Ingleside/Third Street ,Ocean Ave & Westgate Dr,INBOUND,5809,7,15,37.7272,-122.46648
218,M-Ocean View ,Orizaba Ave & Broad St,OUTBOUND,5825,23,4,37.71333,-122.462585
219,M-Ocean View ,Randolph St & Arch St,INBOUND,6172,9,7,37.714344,-122.46699
220,M-Ocean View ,Randolph St & Arch St,OUTBOUND,6173,21,4,37.7142,-122.46722
222,M-Ocean View ,Randolph St & Bright St,OUTBOUND,6175,22,4,37.714240000000004,-122.46361
221,M-Ocean View ,Randolph St & Bright St,INBOUND,6174,8,7,37.714348,-122.463394
28,J-Church ,Right Of Way/18th St,INBOUND,6213,17,9,37.761192,-122.42818500000001
29,J-Church ,Right Of Way/20th St,INBOUND,6215,16,9,37.75823,-122.42779499999999
30,J-Church ,Right Of Way/20th St,OUTBOUND,6214,11,7,37.758263,-122.42792
31,J-Church ,Right Of Way/21st St,INBOUND,6217,14,9,37.756434999999996,-122.42683000000001
32,J-Church ,Right Of Way/21st St,OUTBOUND,6216,13,7,37.756645,-122.42692
33,J-Church ,Right Of Way/22nd St,OUTBOUND,6218,14,7,37.75461,-122.42775
223,M-Ocean View ,Right Of Way/Eucalyptus Dr,INBOUND,6220,14,7,37.730988,-122.47436499999999
224,M-Ocean View ,Right Of Way/Eucalyptus Dr,OUTBOUND,6219,16,4,37.731194,-122.47435
34,J-Church ,Right Of Way/Liberty St,INBOUND,6222,15,9,37.75724,-122.42686499999999
35,J-Church ,Right Of Way/Liberty St,OUTBOUND,6221,12,7,37.75745,-122.427
225,M-Ocean View ,Right Of Way/Ocean Ave,INBOUND,6224,15,7,37.731808,-122.47381599999999
226,M-Ocean View ,Right Of Way/Ocean Ave,OUTBOUND,6223,15,4,37.732025,-122.47372
36,J-Church ,SAN JOSE AVE & GENEVA AVE,OUTBOUND,7155,26,7,37.72191,-122.44743999999999
227,M-Ocean View ,San Jose Ave & Farallones St,INBOUND,6257,4,7,37.714153,-122.45213999999999
228,M-Ocean View ,San Jose Ave & Farallones St,OUTBOUND,6259,26,4,37.714073,-122.45208000000001
91,KT-Ingleside/Third Street ,San Jose Ave & Geneva Ave,INBOUND,7778,1,15,37.72124,-122.44622
37,J-Church ,San Jose Ave & Geneva Ave,INBOUND,7778,1,9,37.72124,-122.44622
229,M-Ocean View ,San Jose Ave & Geneva Ave,INBOUND,6262,1,7,37.720009999999995,-122.44718
231,M-Ocean View ,San Jose Ave & Lakeview Ave,OUTBOUND,6266,27,4,37.716084,-122.45043000000001
230,M-Ocean View ,San Jose Ave & Lakeview Ave,INBOUND,6265,3,7,37.71626,-122.45033000000001
232,M-Ocean View ,San Jose Ave & Mt Vernon Ave,INBOUND,7111,2,7,37.71847,-122.44864
233,M-Ocean View ,San Jose Ave & Mt Vernon Ave,OUTBOUND,6268,28,4,37.718284999999995,-122.44859
234,M-Ocean View ,San Jose Ave & Niagra Ave,OUTBOUND,6269,29,4,37.71951,-122.44746
38,J-Church ,San Jose Ave & Ocean Ave,INBOUND,6275,2,9,37.722862,-122.44479
39,J-Church ,San Jose Ave & Ocean Ave,OUTBOUND,6274,25,7,37.723083,-122.444695
41,J-Church ,San Jose Ave & Randall St,OUTBOUND,6280,21,7,37.739384,-122.42432
40,J-Church ,San Jose Ave & Randall St,INBOUND,6277,6,9,37.739740000000005,-122.42416000000001
42,J-Church ,San Jose Ave & Santa Rosa Ave,INBOUND,6284,4,9,37.728992,-122.43992
43,J-Church ,San Jose Ave & Santa Rosa Ave,OUTBOUND,6285,23,7,37.728996,-122.44001999999999
45,J-Church ,San Jose Ave & Santa Ynez Ave,OUTBOUND,6287,24,7,37.725876,-122.44236000000001
44,J-Church ,San Jose Ave & Santa Ynez Ave,INBOUND,6288,3,9,37.72568,-122.44243999999999
47,J-Church ,San Jose Ave/Glen Park Station,OUTBOUND,4788,22,7,37.7324,-122.43385
46,J-Church ,San Jose Ave/Glen Park Station,INBOUND,4787,5,9,37.732525,-122.43342
302,N-Judah ,Sunset Tunnel East Portal,INBOUND,7318,23,7,37.769135,-122.433075
157,L-Taraval ,Taraval St & 17th Ave,INBOUND,6615,17,6,37.74307,-122.47366000000001
158,L-Taraval ,Taraval St & 17th Ave,OUTBOUND,6614,14,9,37.743202000000004,-122.47343400000001
159,L-Taraval ,Taraval St & 19th Ave,INBOUND,6617,16,6,37.742973,-122.47582
160,L-Taraval ,Taraval St & 19th Ave,OUTBOUND,6616,15,9,37.743109999999994,-122.47543999999999
161,L-Taraval ,Taraval St & 22nd Ave,INBOUND,6619,15,6,37.74289,-122.478424
162,L-Taraval ,Taraval St & 22nd Ave,OUTBOUND,6618,16,9,37.74297,-122.47878999999999
163,L-Taraval ,Taraval St & 23rd Ave,OUTBOUND,6620,17,9,37.74287,-122.480446
164,L-Taraval ,Taraval St & 24th Ave,INBOUND,6621,14,6,37.742737,-122.4812
165,L-Taraval ,Taraval St & 26th Ave,INBOUND,6623,13,6,37.742653000000004,-122.48333000000001
166,L-Taraval ,Taraval St & 26th Ave,OUTBOUND,6622,18,9,37.742779999999996,-122.48307
167,L-Taraval ,Taraval St & 28th Ave,INBOUND,6625,12,6,37.742540000000005,-122.48546599999999
168,L-Taraval ,Taraval St & 28th Ave,OUTBOUND,6624,19,9,37.742683,-122.48521399999998
169,L-Taraval ,Taraval St & 30th Ave,INBOUND,6627,11,6,37.742459999999994,-122.48761999999999
170,L-Taraval ,Taraval St & 30th Ave,OUTBOUND,6626,20,9,37.74259,-122.48733500000002
171,L-Taraval ,Taraval St & 32nd Ave,INBOUND,6629,10,6,37.742354999999996,-122.48975
172,L-Taraval ,Taraval St & 32nd Ave,OUTBOUND,6628,21,9,37.742490000000004,-122.48948999999999
