,EDD_EMP,Total_Housing_Units,MUNI_RAIL_AVG,AVG_BART,SHR_INCOME_100P,PARK_HOURLY_AVG_ON,ONTIME5
1219,28,1275,0,0,0.326394671,0,0.512368046
1220,27,1275,0,0,0.326394671,0,0.553454924
1221,25,1417,0,0,0.255555556,0,0.522965341
1222,316,1417,0,0,0.255555556,200,0.528640593
1223,12,1275,0,0,0.326394671,0,0.510643258
1224,12,1275,0,0,0.326394671,0,0.544729181
1225,14,1275,0,0,0.326394671,0,0.537719705
1226,35,1275,0,0,0.326394671,0,0.511880097
1227,41,1417,0,0,0.255555556,0,0.508349855
1228,18,1275,0,0,0.326394671,0,0.532059479
1229,161,1430,0,0,0.379002234,0,0.547847488
1230,161,1430,0,0,0.379002234,0,0.847697056
1231,105,1430,0,0,0.379002234,0,0.665215606
1232,105,1430,0,0,0.379002234,0,0.528136596
1233,105,1430,0,0,0.379002234,0,0.843779677
1234,82,2500,0,0,0.241619504,0,0.561078395
1235,82,2500,0,0,0.241619504,0,0.853751187
1239,97,1031,710.5,0,0.186721992,0,0.529131778
1240,97,1031,710.5,0,0.186721992,0,0.352648096
1241,97,1031,710.5,0,0.186721992,0,0.516962862
1242,97,1031,710.5,0,0.186721992,0,0.447034252
1244,97,1031,710.5,0,0.186721992,0,0.662582686
1245,44,2500,0,0,0.241619504,200,0.524887504
1246,44,2500,0,0,0.241619504,200,0.839862298
1247,23,855,710.5,0,0.343859649,0,0.327678571
1248,23,855,710.5,0,0.343859649,0,0.612653186
1249,23,855,710.5,0,0.343859649,0,0.356743421
1250,23,855,710.5,0,0.343859649,0,0.557853673
1251,19,1391,0,0,0.133175729,0,0.653366969
1252,19,1391,0,0,0.133175729,0,0.79093661
1253,21,1020,0,0,0.357433809,0,0.381852371
1254,221,1391,0,0,0.133175729,0,0.468811275
1255,221,1391,0,0,0.133175729,0,0.509092559
1256,1083,222,0,0,0.779411765,0,0.524237141
1257,1083,222,0,0,0.779411765,0,0.659708627
1258,1083,222,0,0,0.779411765,0,0.777546296
1260,1164,1430,0,0,0.379002234,0,0.662107209
1261,1164,1430,0,0,0.379002234,0,0.533727138
1262,1164,1430,0,0,0.379002234,0,0.843779677
1264,11,855,0,0,0.343859649,0,0.380823996
1265,232,222,0,0,0.779411765,0,0.819141738
1268,128,855,0,0,0.343859649,0,0.54669808
1269,128,855,0,0,0.343859649,0,0.360874891
1270,128,855,0,0,0.343859649,0,0.494434951
1271,128,855,0,0,0.343859649,0,0.417481203
1272,128,855,0,0,0.343859649,0,0.656912013
1273,1154,222,0,0,0.779411765,0,0.546999759
1274,1154,222,0,0,0.779411765,0,0.614639808
1275,1154,222,0,0,0.779411765,0,0.755555556
1276,367,1430,0,0,0.379002234,0,0.55101131
1277,367,1430,0,0,0.379002234,0,0.85660019
1278,428,222,0,0,0.779411765,0,0.527034426
1279,428,222,0,0,0.779411765,0,0.634462029
1280,428,222,0,0,0.779411765,0,0.805466524
1281,74,1391,0,0,0.133175729,0,0.739611401
1282,74,1391,0,0,0.133175729,0,0.804113248
1283,74,1391,0,0,0.133175729,0,0.433884804
1284,74,1391,0,0,0.133175729,0,0.46936538
1285,85,2500,0,0,0.241619504,200,0.836775878
1286,80,2500,0,0,0.241619504,200,0.527085272
1289,41,855,0,0,0.343859649,0,0.597053902
