,ROUTE_SHORT_NAME,DIR,STOPNAME,STOP_ID
5511,8AX,1,San Bruno Ave & Thornton Ave   ,6367
5715,8X,1,San Bruno Ave & Thornton Ave   ,6367
5843,9,1,San Bruno Ave & Thornton Ave   ,6367
5933,90,1,San Bruno Ave & Thornton Ave   ,6367
6226,9AX,0,San Bruno Ave & Ward St   ,6369
5481,8AX,0,San Bruno Ave & Ward St   ,6369
6310,9BX,0,San Bruno Ave & Ward St   ,6369
6526,9X,1,San Bruno Ave & Ward St   ,6368
5934,90,1,San Bruno Ave & Ward St   ,6368
5512,8AX,1,San Bruno Ave & Ward St   ,6368
6457,9X,0,San Bruno Ave & Ward St   ,6369
6273,9AX,1,San Bruno Ave & Ward St   ,6368
5781,9,0,San Bruno Ave & Ward St   ,6369
5844,9,1,San Bruno Ave & Ward St   ,6368
5887,90,0,San Bruno Ave & Ward St   ,6369
5651,8X,0,San Bruno Ave & Ward St   ,6369
5716,8X,1,San Bruno Ave & Ward St   ,6368
6274,9AX,1,San Bruno Ave & Wayland St   ,6373
5935,90,1,San Bruno Ave & Wayland St   ,6373
5845,9,1,San Bruno Ave & Wayland St   ,6373
5513,8AX,1,San Bruno Ave & Wayland St   ,6373
5717,8X,1,San Bruno Ave & Wayland St   ,6373
6527,9X,1,San Bruno Ave & Wayland St   ,6373
6458,9X,0,San Bruno Ave & Wilde Ave  ,6371
5482,8AX,0,San Bruno Ave & Wilde Ave  ,6371
5782,9,0,San Bruno Ave & Wilde Ave  ,6371
5888,90,0,San Bruno Ave & Wilde Ave  ,6371
6311,9BX,0,San Bruno Ave & Wilde Ave  ,6371
5652,8X,0,San Bruno Ave & Wilde Ave  ,6371
6227,9AX,0,San Bruno Ave & Wilde Ave  ,6371
6275,9AX,1,San Bruno Ave & Wilde Ave   ,6370
5514,8AX,1,San Bruno Ave & Wilde Ave   ,6370
5718,8X,1,San Bruno Ave & Wilde Ave   ,6370
5936,90,1,San Bruno Ave & Wilde Ave   ,6370
6528,9X,1,San Bruno Ave & Wilde Ave   ,6370
5846,9,1,San Bruno Ave & Wilde Ave   ,6370
6459,9X,0,San Bruno Ave & Woolsey St  ,6372
5783,9,0,San Bruno Ave & Woolsey St  ,6372
6228,9AX,0,San Bruno Ave & Woolsey St  ,6372
5889,90,0,San Bruno Ave & Woolsey St  ,6372
5483,8AX,0,San Bruno Ave & Woolsey St  ,6372
5653,8X,0,San Bruno Ave & Woolsey St  ,6372
6749,M-OWL,0,San Jose Ave & Farallones St   ,6259
6573,K-OWL,0,San Jose Ave & Geneva Ave   ,6263
1902,26,0,San Jose Ave & Havelock St  ,6264
6750,M-OWL,0,San Jose Ave & Lakeview Ave   ,6266
6751,M-OWL,0,San Jose Ave & Mt Vernon Ave   ,6268
1903,26,0,San Jose Ave & Nantucket Ave   ,6272
6752,M-OWL,0,San Jose Ave & Niagra Ave   ,6269
1950,26,1,San Jose Ave & Ocean Ave,6273
6574,K-OWL,0,San Jose Ave & Ocean Ave  ,6276
3001,36,0,San Jose Ave & Ocean Ave  ,6276
1904,26,0,San Jose Ave & Ocean Ave  ,6276
6192,95,0,San Jose Ave & Ocean Ave  ,6276
1951,26,1,San Jose Ave & San Juan Ave   ,6281
1905,26,0,San Jose Ave & Santa Rosa Ave,7049
1952,26,1,San Jose Ave & Santa Rosa Ave  ,6284
1953,26,1,San Jose Ave & Santa Ynez Ave  ,6286
1906,26,0,San Jose Ave & Santa Ynez Ave  ,6289
812,14X,1,San Jose Ave & Sickles Ave   ,6283
3197,37,1,Sanchez St & 15th St  ,6466
385,10,1,Sansome St & California St  ,6326
501,12,0,Sansome St & California St  ,6327
2600,30X,0,Sansome St & California St  ,6326
2625,30X,1,Sansome St & California St  ,6327
294,10,0,Sansome St & California St  ,6327
2626,30X,1,Sansome St & Clay St  ,6328
502,12,0,Sansome St & Clay St  ,6328
295,10,0,Sansome St & Clay St  ,6328
5377,82,1,Sansome St & Filbert St  ,6329
386,10,1,Sansome St & Filbert St  ,6329
5397,82X,1,Sansome St & Filbert St  ,6329
387,10,1,Sansome St & Lombard St  ,6330
5378,82,1,Sansome St & Pacific Ave  ,6331
5398,82X,1,Sansome St & Pacific Ave  ,6331
388,10,1,Sansome St & Pacific Ave  ,6331
571,12,1,Sansome St & Pine St  ,6332
2811,31BX,1,Sansome St & Pine St  ,6332
1289,1BX,1,Sansome St & Pine St  ,6332
3382,38BX,1,Sansome St & Pine St  ,6332
2781,31AX,1,Sansome St & Pine St  ,6332
1251,1AX,1,Sansome St & Pine St  ,6332
3346,38AX,1,Sansome St & Pine St  ,6332
389,10,1,Sansome St & Pine St  ,6332
3548,41,0,Sansome St & Sacramento St  ,6333
2601,30X,0,Sansome St & Sacramento St  ,6333
5399,82X,1,Sansome St & Sacramento St  ,6333
572,12,1,Sansome St & Sacramento St  ,6333
390,10,1,Sansome St & Sacramento St  ,6333
1419,20,0,Sansome St & Sacramento St  ,6333
573,12,1,Sansome St & Sutter St,7550
391,10,1,Sansome St & Sutter St,7550
3525,4,1,Sansome St & Sutter St  ,6334
503,12,0,Sansome St & Sutter St  ,6334
2479,3,1,Sansome St & Sutter St  ,6334
296,10,0,Sansome St & Sutter St  ,6334
1391,2,1,Sansome St & Sutter St  ,6334
392,10,1,Sansome St & Union St  ,6335
5379,82,1,Sansome St & Union St  ,6335
5380,82,1,Sansome St & Vallejo St  ,6336
5400,82X,1,Sansome St & Vallejo St  ,6336
393,10,1,Sansome St & Vallejo St  ,6336
5401,82X,1,Sansome St & Washington St  ,6337
394,10,1,Sansome St & Washington St  ,6337
574,12,1,Sansome St & Washington St  ,6337
5381,82,1,Sansome St & Washington St  ,6337
2602,30X,0,Sansome St & Washington St  ,6337
1736,23,1,Santa Clara Ave & Monterey Blvd,6374
1665,23,0,Santa Clara Ave & Saint Francis Blvd,6375
4203,48,1,Santiago St & 14th Ave  ,6467
4111,48,0,Santiago St & 17th Ave  ,6468
6368,9BX,1,Santos St & Brookdale Ave  ,6340
5784,9,0,Santos St & Brookdale Ave  ,6340
5719,8X,1,Santos St & Brookdale Ave  ,6340
6529,9X,1,Santos St & Brookdale Ave  ,6340
6160,91,1,Santos St & Brookdale Ave  ,6340
5602,8BX,1,Santos St & Brookdale Ave  ,6340
6460,9X,0,Santos St & Brookdale Ave   ,6339
5847,9,1,Santos St & Brookdale Ave   ,6339
5654,8X,0,Santos St & Brookdale Ave   ,6339
6048,91,0,Santos St & Brookdale Ave   ,6339
5785,9,0,Santos St & Brookdale Ave   ,6339
5549,8BX,0,Santos St & Brookdale Ave   ,6339
6312,9BX,0,Santos St & Brookdale Ave   ,6339
6161,91,1,Santos St & Geneva Ave   ,6343
6369,9BX,1,Santos St & Geneva Ave   ,6343
5786,9,0,Santos St & Geneva Ave   ,6344
5848,9,1,Santos St & Geneva Ave   ,6344
5603,8BX,1,Santos St & Geneva Ave   ,6343
5720,8X,1,Santos St & Geneva Ave   ,6343
6530,9X,1,Santos St & Geneva Ave   ,6343
6531,9X,1,Santos St & Velasco Ave   ,6345
5721,8X,1,Santos St & Velasco Ave   ,6345
6313,9BX,0,Santos St & Velasco Ave   ,6346
5787,9,0,Santos St & Velasco Ave   ,6345
5849,9,1,Santos St & Velasco Ave   ,6346
5604,8BX,1,Santos St & Velasco Ave   ,6345
6461,9X,0,Santos St & Velasco Ave   ,6346
6049,91,0,Santos St & Velasco Ave   ,6346
6162,91,1,Santos St & Velasco Ave   ,6345
5655,8X,0,Santos St & Velasco Ave   ,6346
6370,9BX,1,Santos St & Velasco Ave   ,6345
5550,8BX,0,Santos St & Velasco Ave   ,6346
4763,56,1,Sawyer St & Visitacion Ave,7333
5850,9,1,Schwerin St & Garrison Ave  ,6383
5788,9,0,Schwerin St & Garrison Ave   ,6382
5789,9,0,Schwerin St & Geneva Ave   ,6384
5851,9,1,Schwerin St & Macdonald Ave   ,6385
5852,9,1,Schwerin St & Sunnydale Ave   ,6386
5790,9,0,Schwerin St & Sunnydale Ave   ,6387
5853,9,1,Schwerin St & Velasco Ave   ,6388
5791,9,0,Schwerin St & Velasco Ave   ,6389
2627,30X,1,Scott St & North Point St  ,6376
395,10,1,Second Street & Folsom Street,7496
575,12,1,Second Street & Folsom Street,7496
5098,7,1,Shrader St & Haight St  ,6381
5428,88,0,Sickles Ave & Alemany Blvd   ,6390
5454,88,1,Sickles Ave & Alemany Blvd   ,6391
3881,44,1,Silver Ave & Alemany Blvd   ,6393
4487,52,1,Silver Ave & Alemany Blvd   ,6393
4454,52,0,Silver Ave & Alemany Blvd   ,6394
