,EDD_EMP,MUNI_RAIL_AVG,AVG_BART,SHR_INCOME_100P,PARK_HOURLY_AVG_ON,ONTIME5,
266,882,1459.4,0,0.469416785,191,0.631073352,
267,221,1104.85,0,0.469416785,164,0.623161426,
268,221,1104.85,0,0.469416785,164,0.561692262,
269,221,1104.85,0,0.469416785,164,0.74024404,
270,226,1104.85,0,0.469416785,0,0.642762371,
271,226,1104.85,0,0.469416785,0,0.676040006,
272,226,1104.85,0,0.469416785,0,0.551748637,
273,226,1104.85,0,0.469416785,0,0.417542151,
274,226,1104.85,0,0.469416785,0,0.756629743,
275,25,0,0,0.469416785,0,0.636339539,
276,25,0,0,0.469416785,0,0.698312582,
277,25,0,0,0.469416785,0,0.535766462,
278,25,0,0,0.469416785,0,0.505857397,
279,24,0,0,0.543771044,0,0.583098186,
280,24,0,0,0.543771044,0,0.536252901,
281,24,0,0,0.543771044,0,0.734146609,
282,42,0,0,0.543771044,0,0.644998716,
283,42,0,0,0.543771044,0,0.714551302,
284,42,0,0,0.543771044,0,0.533127831,
285,42,0,0,0.543771044,0,0.527655799,
286,43,0,0,0.543771044,0,0.748506525,
287,344,0,0,0.469416785,194,0.535075926,
288,365,0,0,0.469416785,190,0.559187128,
289,49,0,0,0.543771044,0,0.524424114,
290,52,0,0,0.543771044,0,0.766894886,
291,55,0,0,0.543771044,0,0.51530033,
292,52,0,0,0.543771044,0,0.788172086,
293,39,0,0,0.543771044,0,0.503610824,
294,21,0,0,0.203525641,0,0.678843615,
295,30,0,0,0.668508287,0,0.792667181,
296,10,0,0,0.628818737,0,0.799464662,
297,14,0,0,0.668508287,0,0.494638292,
298,17,0,0,0.628818737,0,0.808979193,
299,18,0,0,0.668508287,0,0.482698207,
300,520,0,0,0.657228018,200,0.565967603,
301,520,0,0,0.657228018,200,0.645036647,
302,441,0,0,0.401205937,158,0.543441622,
303,441,0,0,0.401205937,158,0.777824211,
304,441,0,0,0.401205937,158,0.580509526,
305,441,0,0,0.401205937,158,0.672934131,
306,441,0,0,0.401205937,158,0.522599953,
307,434,0,0,0.39021164,0,0.53917991,
308,434,0,0,0.39021164,0,0.523926287,
309,434,0,0,0.39021164,0,0.609526641,
310,434,0,0,0.39021164,0,0.756223163,
311,434,0,0,0.39021164,0,0.529617023,
312,777,0,0,0.224738252,203,0.725472199,
313,777,0,0,0.224738252,203,0.533047336,
314,777,0,0,0.224738252,203,0.671225328,
315,761,0,0,0.39021164,159,0.596936951,
316,761,0,0,0.39021164,159,0.607856472,
317,761,0,0,0.39021164,159,0.745065248,
318,1796,0,0,0.39021164,300,0.617155113,
319,1796,0,0,0.39021164,300,0.613935385,
320,1796,0,0,0.39021164,300,0.759283646,
321,4754,11243.15,0,0.224738252,170,0.891269841,
322,4754,11243.15,0,0.224738252,170,0.522883257,
323,4754,11243.15,0,0.224738252,170,0.479172027,
324,4725,11243.15,0,0.39021164,300,0.644347478,
325,4725,11243.15,0,0.39021164,300,0.531518496,
326,11,0,0,0.668508287,0,0.640424361,
327,11,0,0,0.668508287,0,0.710427393,
328,84,0,0,0.628818737,0,0.454625882,
329,84,0,0,0.628818737,0,,
330,183,383.2,0,0.628818737,200,0.591550552,
331,183,383.2,0,0.694702602,0,0.447377699,
332,25,282.15,0,0.694702602,0,0.458353181,
333,25,282.15,0,0.694702602,200,0.59141285,
334,92,0,0,0.605987446,0,0.505753026,
335,625,5829.65,0,0.52125,0,0.569185282,
