,ROUTE_SHORT_NAME,DIR,LOG_RIDERS_09,EDD_EMP_LOG_09,STOP_ID,AVG_RIDE_09,FREQ_S_LOG_09,EOL_SOL_09,HOUSING_09_DEN_LOG,SHR_INCOME_100P_09,PARK_HOURLY_AVG_ON_LOG_09,ONTIME5_09,AVG_BART_LOG_09,CLOSE_STOP_09,LIMITED_09,EXPRESS_09,ONTIME5.1,TRANSBAY_09,MUNI_RAIL_AVG_09,LOG_RIDERS_16,EDD_EMP_LOG_16,AVG_RIDE_16,FREQ_S_LOG_16,EOL_SOL_16,HOUSING_16_DEN_LOG,SHR_INCOME_100P_16,PARK_HOURLY_AVG_ON_LOG_16,ONTIME5_16,AVG_BART_LOG_16,CLOSE_STOP_16,LIMITED_16,EXPRESS_16,TRANSBAY_16,MUNI_RAIL_AVG_16
1084,30,1,5.034311628,5.97126184,4118,152.59382649999998,2.105744969,0.0,6.681034306,0.451887294,5.303304908,0.77392084,0.0,1,0,0,0.77392084,0,0.0,4.888837528871812,6.0591231955817975,131.79910915794258,2.0373833400358574,0.0,6.680819813023003,0.42906403940886695,5.303304908059076,0.6188088292633661,0.0,1,0,0,0.0,0.0
1085,91,0,0.852166578,5.97126184,4118,1.3447213740000001,1.098612289,0.0,6.681034306,0.451887294,5.303304908,0.56969443,0.0,1,0,0,0.56969443,0,0.0,1.1172263301773795,6.0591231955817975,2.056365088122284,1.0986122886681098,0.0,6.680819813023003,0.42906403940886695,5.303304908059076,0.5377467485310623,0.0,1,0,0,0.0,0.0
1086,30,0,6.0953695329999995,7.99530662,4119,442.7980131,1.7884063380000002,0.0,6.474486177,0.23447118100000003,5.214935758,0.718911105,0.0,1,0,0,0.718911105,0,0.0,5.834856601739353,8.24564690087386,341.01568607916374,2.009423288724106,0.0,6.479707385742483,0.2302350427350427,5.214935757608987,0.5338756003987546,0.0,1,0,0,0.0,0.0
1087,91,1,1.34973304,7.99530662,4119,2.8563958919999997,1.170071253,0.0,6.474486177,0.23447118100000003,5.214935758,0.35149159700000004,0.0,1,0,0,0.35149159700000004,0,0.0,1.1335578537362698,8.24564690087386,2.1066900093370684,1.0986122886681098,0.0,6.479707385742483,0.2302350427350427,5.214935757608987,0.5052970447438235,0.0,1,0,0,0.0,0.0
1088,30,1,5.403657457,7.988542982999999,4120,221.21768319999998,2.105967659,0.0,6.494961796,0.09798708699999999,5.303304908,0.789419979,0.0,1,0,0,0.789419979,0,0.0,5.372397488038469,8.229777750081887,214.3786168637463,2.0373444565619234,0.0,6.5155360074188255,0.13808738664468256,5.303304908059076,0.624128938674624,0.0,1,0,0,0.0,0.0
1089,91,0,1.0164718659999998,7.988542982999999,4120,1.7634278,1.098612289,0.0,6.494961796,0.09798708699999999,5.303304908,0.581006648,0.0,1,0,0,0.581006648,0,0.0,1.1103687366994752,8.229777750081887,2.0354774800463518,1.0986122886681098,0.0,6.5155360074188255,0.13808738664468256,5.303304908059076,0.4444676944852016,0.0,1,0,0,0.0,0.0
1090,41,0,2.914851622,8.208219383,4121,17.44607521,1.349235489,0.0,6.198812338,-1.11e-16,5.918893853999999,0.642237101,0.0,1,0,0,0.642237101,0,0.0,3.2262261880025016,8.497602541651233,24.184436084064487,1.5064893676767028,0.0,6.223232630679201,0.0412573673870334,5.918893854273146,0.5873811355401358,0.0,1,0,0,0.0,0.0
1091,19,1,3.877803315,3.36729583,4122,47.31795909,1.54544045,0.0,5.754113224,0.354461042,0.0,0.7828203440000001,0.0,1,0,0,0.7828203440000001,0,0.0,3.735062283389024,3.49650756146648,40.89063457254247,1.5165126932920574,0.0,5.7571579313756605,0.5812749003984063,0.0,0.6036222069724576,0.0,1,0,0,0.0,0.0
1092,10,1,2.162955277,6.376726948,4123,7.696801173,1.390422651,0.0,5.054836544,0.5530726260000001,0.0,0.661107337,0.0,1,0,0,0.661107337,0,0.0,3.956481810085817,5.880532986400699,51.27309538310809,1.54036928007648,0.0,5.06985687879647,0.7705242334322453,0.0,0.4965981734520598,0.0,1,0,0,0.0,0.0
1093,22,1,4.157895565,6.376726948,4123,62.93683003,1.633786881,0.0,5.054836544,0.5530726260000001,0.0,0.73532012,0.0,0,0,0,0.73532012,0,0.0,4.458720314096941,5.880532986400699,85.37690303575049,1.5129391908581518,0.0,5.06985687879647,0.7705242334322453,0.0,0.6747056240770962,0.0,0,0,0,0.0,0.0
